species	taxon_id	corresponding_file
Bifidobacterium longum	216816	B_longum_TM02-7_S
Bifidobacterium breve	1685	B_breve_DRBB27_C
Bifidobacterium longum	216816	B_longum_AF11-41_S
Lacticaseibacillus paracasei	1597	Lb_paracasei_ZY-1_C
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_CIRM-BIA_2116_S
Propionibacterium freudenreichii	1744	Pr_freudenreichii_ITG_P1_S
Lactobacillus johnsonii	33959	Lb_johnsonii_CIRM-BIA_2080_S
Lactobacillus pentosus	1589	Lb_pentosus_IG7_S
Pediococcus pentosaceus	1255	Pe_pentosaceus_CIRM-BIA_1974_S
Bifidobacterium breve	1685	B_breve_NRBB49_C
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_CIRM-BIA_930_S
Lacticaseibacillus paracasei	1597	Lb_paracasei_CIRM-BIA_770_S
Latilactobacillus sakei	1599	Lb_sakei_RI-517_S
Lactiplantibacillus plantarum	1590	Lb_plantarum_1020_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_CIRM-BIA_909_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_CASL_S
Limosilactobacillus reuteri	1598	Lb_reuteri_CIRM-BIA_2122_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_CIRM-BIA_2132_S
Bifidobacterium breve	1685	B_breve_LMC520_C
