species	taxon_id	corresponding_file
Lactococcus lactis	1358	Lco_lactis_subsp-lactis_EIP26B_S
Weissella paramesenteroides	1249	W_paramesenteroides_1398_S
Lactiplantibacillus plantarum	1590	Lb_plantarum_CIRM-BIA_2114_S
Leuconostoc falkenbergense	2766470	Leu_falkenbergense_CIRM-BIA_876_S
Lactobacillus crispatus	47770	Lb_crispatus_MV-3A-US_S
Lactobacillus acidophilus	1579	Lb_acidophilus_ATCC_4796_S
Leuconostoc citreum	33964	Leu_citreum_CIRM-BIA_1455_S
Lactobacillus helveticus	1587	Lb_helveticus_IMAU30143_S
Lactococcus cremoris	1359	Lco_cremoris_CIRM-BIA_1573_S
Lactobacillus fermentum	1613	Lb_fermentum_CECT_5716_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_CBC-LB69_S
Streptococcus thermophilus	1308	St_thermophilus_STH_CIRM_1121_C
Propionibacterium freudenreichii	1744	Pr_freudenreichii_CIRM_BIA122_C
Lactobacillus johnsonii	33959	Lb_johnsonii_N6-2_C
Lactococcus lactis	1358	Lco_lactis_CIRM-BIA_2201_S
Lactobacillus gasseri	1596	Lb_gasseri_1001175B_160314_D8_S
Leuconostoc citreum	33964	Leu_citreum_1301_LGAS_S
Streptococcus thermophilus	1308	St_thermophilus_05-34_S
Streptococcus thermophilus	1308	St_thermophilus_S9_C
Brevibacillus brevis	1393	Lb_brevis_TMW_1-2108_C
Bifidobacterium longum	216816	B_longum_1001302B_160321_G1_S
Latilactobacillus curvatus	28038	Lb_curvatus_CIRM-BIA_1513_S
Bifidobacterium breve	1685	B_breve_HPH0326_S
Lactobacillus acidophilus	1579	Lb_acidophilus_DSM_9126_S
Lactococcus lactis	1358	Lco_lactis_subsp-lactis_EIP19F_S
Lactobacillus helveticus	1587	Lb_helveticus_IMAU50091_S
Lactobacillus pentosus	1589	Lb_pentosus_CIRM-BIA_2169_S
Lactococcus lactis	1358	Lco_lactis_F_C
Propionibacterium freudenreichii	1744	Pr_freudenreichii_CIRM-BIA_6_S
Leuconostoc mesenteroides	1245	Leu_mesenteroides_SRCM102733_C
Brevibacillus brevis	1393	Lb_brevis_CIRM-BIA_907_S
Streptococcus salivarius	1304	Lb_salivarius_Ren_C
Lactobacillus acidophilus	1579	Lb_acidophilus_YT1_C
Lentilactobacillus kefiri	33962	Lb_kefiri_MGYG-HGUT-02472_S
Lactobacillus coryniformis	1610	Lb_coryniformis_DSM_20001_C
Lactobacillus acidophilus	1579	Lb_acidophilus_DSM_20079_C
Lactobacillus acidophilus	1579	Lb_acidophilus_CIRM-BIA_903_S
Bifidobacterium longum	216816	B_longum_AF35-13AC_S
Limosilactobacillus reuteri	1598	Lb_reuteri_JCM_1112_C
Bifidobacterium longum	216816	B_longum_BSD2780120875_150330_F5_S
Propionibacterium freudenreichii	1744	Pr_freudenreichii_CIRM_BIA122_S
Bifidobacterium longum	216816	B_longum_BORI_C
Lactococcus lactis	1358	Lco_lactis_CF106_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_ATCC_21052_S
Lactobacillus gasseri	1596	Lb_gasseri_497_LGAS_S
Lactiplantibacillus plantarum	1590	Lb_plantarum_ST-III_C
Lactococcus lactis	1358	Lco_lactis_KF147_C
Lacticaseibacillus paracasei	1597	Lb_paracasei_MGB0761_C
Weissella cibaria	137591	W_cibaria_1366_S
Lactobacillus crispatus	47770	Lb_crispatus_RL15_S
Bifidobacterium breve	1685	B_breve_1001270B_150601_B2_S
Bifidobacterium longum	216816	B_longum_105-A_C
Lactobacillus delbrueckii	1584	Lb_delbrueckii_KCCM_34717_C
Lactobacillus delbrueckii	1584	Lb_delbrueckii_865_S
Lactobacillus crispatus	47770	Lb_crispatus_PSS7772C_S
Lactobacillus pentosus	1589	Lb_pentosus_krglsrbmofpi2_S
Lactococcus cremoris	1359	Lco_cremoris_CIRM-BIA_636_S
Lactiplantibacillus plantarum	1590	Lb_plantarum_CIRM-BIA_2224_S
Bifidobacterium longum	216816	B_longum_AF13-41_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_214_LRHA_S
Pediococcus pentosaceus	1255	Pe_pentosaceus_SL4_C
Latilactobacillus curvatus	28038	Lb_curvatus_CIRM-BIA_1458_S
Lacticaseibacillus casei	1582	Lb_casei_12A_C
Bifidobacterium breve	1685	B_breve_689b_C
Lactobacillus delbrueckii	1584	Lb_delbrueckii_subsp-bulgaricus_CIRM-BIA_1581_S
Brevibacillus brevis	1393	Lb_brevis_UCCLBBS124_C
Lactococcus lactis	1358	Lco_lactis_CIRM-BIA_635_S
Lactobacillus fermentum	1613	Lb_fermentum_CIRM-BIA_867_S
Leuconostoc mesenteroides	1245	Leu_mesenteroides_CIRM-BIA_1146_S
Lactiplantibacillus plantarum	1590	Lb_plantarum_1525_S
Limosilactobacillus reuteri	1598	Lb_reuteri_CIRM-BIA_929_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_ASCC_3018_S
Pediococcus acidilactici	1254	Pe_acidilactici_SRCM103444_C
Lactococcus lactis	1358	Lco_lactis_L81-D1_S
Lactobacillus helveticus	1587	Lb_helveticus_CAUH18_C
Leuconostoc mesenteroides	1245	Leu_mesenteroides_ATCC_8293_C
Lactobacillus crispatus	47770	Lb_crispatus_UMNLC21_S
Lactococcus lactis	1358	Lco_lactis_JM2_C
Lactobacillus gasseri	1596	Lb_gasseri_AL5_S
Lactobacillus crispatus	47770	Lb_crispatus_125-2-CHN_S
Lactococcus lactis	1358	Lco_lactis_537_S
Pediococcus pentosaceus	1255	Pe_pentosaceus_FAM_20709_S
Lactiplantibacillus plantarum	1590	Lb_plantarum_CIRM-BIA_2113_S
Lactobacillus acidophilus	1579	Lb_acidophilus_CIRM-BIA_443_S
Bifidobacterium longum	216816	B_longum_Bifidobacterium_longum_subsp_infantis_MC2_S
Pediococcus pentosaceus	1255	Pe_pentosaceus_SRCM100892_C
Lactiplantibacillus plantarum	1590	Lb_plantarum_CIRM-BIA_2117_S
Weissella beninensis	504936	W_beninensis_716_S
Lacticaseibacillus paracasei	1597	Lb_paracasei_MGB0734_C
Lactobacillus acidophilus	1579	Lb_acidophilus_CIRM-BIA_444_S
Brevibacillus brevis	1393	Lb_brevis_NCTC13768_C
Latilactobacillus curvatus	28038	Lb_curvatus_VRA_2sq_f_S
Bifidobacterium longum	216816	B_longum_BSD2780061689_150309_E10_S
Bifidobacterium breve	1685	B_breve_S27_C
Lactobacillus delbrueckii	1584	Lb_delbrueckii_subsp-bulgaricus_CIRM-BIA_1586_S
Leuconostoc mesenteroides	1245	Leu_mesenteroides_CIRM-BIA_427_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_CIRM-BIA_1107_S
Streptococcus thermophilus	1308	St_thermophilus_STH_CIRM_1035_C
Pediococcus pentosaceus	1255	Pe_pentosaceus_FAM_24213_S
Lactobacillus fermentum	1613	Lb_fermentum_CIRM-BIA_2151_S
Weissella confusa	1583	W_confusa_1407_S
Bifidobacterium breve	1685	B_breve_NRBB57_C
Lactiplantibacillus plantarum	1590	Lb_plantarum_CIRM-BIA_2107_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_Lrh46_S
Propionibacterium freudenreichii	1744	Pr_freudenreichii_CIRM_BIA119_S
Lactobacillus helveticus	1587	Lb_helveticus_FAM22155_C
Bifidobacterium breve	1685	B_breve_NRBB04_C
Bifidobacterium breve	1685	B_breve_NCFB_2258_C
Lacticaseibacillus paracasei	1597	Lb_paracasei_JCM_8130_C
Streptococcus thermophilus	1308	St_thermophilus_KLDS_SM_C
Bifidobacterium longum	216816	B_longum_TF07-31_S
Streptococcus thermophilus	1308	St_thermophilus_KLDS3-1012_S
Leuconostoc mesenteroides	1245	Leu_mesenteroides_DE0394_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_GG_C
Lactococcus lactis	1358	Lco_lactis_CIRM-BIA_44_S
Lactobacillus crispatus	47770	Lb_crispatus_DC21-1_C
